Type	ID	Observed_CDR_R	Observed_CDR_S	Observed_FWR_R	Observed_FWR_S	Expected_CDR_R	Expected_CDR_S	Expected_FWR_R	Expected_FWR_S	Focused_Sigma_CDR	Focused_CIlower_CDR	Focused_CIupper_CDR	Focused_Sigma_FWR	Focused_CIlower_FWR	Focused_CIupper_FWR	Focused_P_CDR	Focused_P_FWR
Sequence	KC575956_53	4	2	13	6	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	-0.19	-1.05	0.68	-0.427	-0.327
Sequence	KC575979_53	4	3	12	5	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	-0.267	-1.15	0.62	-0.427	-0.27
Sequence	KC575987_53	4	2	12	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	-0.14	-1.05	0.79	0.488	-0.373
Sequence	KC575933_53	4	2	12	4	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	0.00426	-0.94	0.98	0.397	-0.494
Sequence	KC576088_92	5	3	19	8	0.168	0.073	0.547	0.212	-0.219	-1.31	0.75	-0.125	-0.86	0.61	-0.344	-0.362
Sequence	KC576170_92	5	2	21	8	0.168	0.073	0.547	0.212	-0.128	-1.23	0.86	0.0633	-0.67	0.82	-0.413	0.441
Sequence	KC576234_92	5	3	14	8	0.168	0.073	0.547	0.212	-0.219	-1.31	0.75	-0.422	-1.21	0.35	-0.344	-0.142
Sequence	KC576124_92	2	3	16	6	0.168	0.073	0.547	0.212	-0.844	-2.42	0.44	-0.101	-0.9	0.71	-0.111	-0.395
Sequence	KC576039_53	3	2	11	4	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	-0.0791	-1.04	0.91	-0.444	-0.427
Sequence	KC576182_92	7	3	22	7	0.168	0.073	0.547	0.212	0.186	-0.8	 1.1	0.109	-0.62	0.86	0.343	0.393
Sequence	KC575850_66	3	3	15	7	0.168	0.073	0.547	0.212	-0.592	-1.93	0.54	-0.264	-1.06	0.53	-0.168	-0.251
Sequence	KC575946_53	1	3	13	4	0.168	0.073	0.547	0.212	-1.17	-3.26	0.41	-0.0634	-0.95	0.85	-0.0853	-0.436
Sequence	KC575959_53	3	3	15	7	0.168	0.073	0.547	0.212	-0.592	-1.93	0.54	-0.264	-1.06	0.53	-0.168	-0.251
Sequence	KC575934_53	4	4	13	5	0.168	0.073	0.547	0.212	-0.233	-1.45	0.84	-0.301	-1.14	0.54	-0.351	-0.235
Sequence	KC575995_53	1	4	13	5	0.168	0.073	0.547	0.212	-1.39	-3.44	0.13	-0.301	-1.14	0.54	-0.0402	-0.235
Sequence	KC575950_53	1	4	10	4	0.168	0.073	0.547	0.212	-1.29	-3.35	0.26	-0.441	-1.36	0.47	-0.0587	-0.168
Sequence	KC575937_53	3	3	12	8	0.168	0.073	0.547	0.212	-0.681	-2.01	0.43	-0.57	-1.39	0.23	-0.128	-0.0815
Sequence	KC576072_53	1	2	6	3	0.168	0.073	0.547	0.212	-0.877	-3.04	 0.8	-0.484	-1.64	0.67	-0.176	-0.2
Sequence	KC575983_53	1	1	13	6	0.168	0.073	0.547	0.212	-1.17	-3.26	0.41	-0.0634	-0.95	0.85	-0.0853	-0.436
Sequence	KC576020_53	1	1	10	3	0.168	0.073	0.547	0.212	-0.684	-2.91	1.07	0.205	-0.88	1.37	-0.25	0.369
Sequence	KC576012_53	1	1	11	3	0.168	0.073	0.547	0.212	-0.684	-2.91	1.07	0.295	-0.76	1.45	-0.25	0.306
Sequence	KC576064_53	1	1	11	6	0.168	0.073	0.547	0.212	-1.17	-3.26	0.41	-0.224	-1.15	0.71	-0.0853	-0.311
Sequence	KC576009_53	1	0	10	3	0.168	0.073	0.547	0.212	-0.436	-2.74	1.45	0.463	-0.7	1.77	-0.351	0.231
Sequence	KC576032_53	1	3	14	4	0.168	0.073	0.547	0.212	-1.17	-3.26	0.41	0.008	-0.87	0.91	-0.0853	-0.498
Sequence	KC576066_53	1	4	14	5	0.168	0.073	0.547	0.212	-1.39	-3.44	0.13	-0.23	-1.06	 0.6	-0.0402	-0.286
Sequence	KC575869_53	1	3	14	5	0.168	0.073	0.547	0.212	-1.29	-3.35	0.26	-0.118	-0.97	0.75	-0.0587	-0.385
Sequence	KC575963_53	1	3	12	3	0.168	0.073	0.547	0.212	-1.03	-3.16	0.58	0.00426	-0.94	0.98	-0.123	-0.494
Sequence	KC575901_53	3	4	13	5	0.168	0.073	0.547	0.212	-0.493	-1.84	0.66	-0.301	-1.14	0.54	-0.219	-0.235
Sequence	KC575896_53	2	3	10	5	0.168	0.073	0.547	0.212	-0.735	-2.33	0.57	-0.441	-1.36	0.47	-0.152	-0.168
Sequence	KC576061_53	2	3	12	8	0.168	0.073	0.547	0.212	-1.03	-2.58	0.21	-0.57	-1.39	0.23	-0.0579	-0.0815
Sequence	KC576045_53	2	3	12	9	0.168	0.073	0.547	0.212	-1.11	-2.65	0.11	-0.654	-1.46	0.12	-0.0413	-0.0512
Sequence	KC576033_53	2	3	12	7	0.168	0.073	0.547	0.212	-0.941	-2.51	0.32	-0.479	-1.32	0.34	-0.0805	-0.126
Sequence	KC575984_53	4	4	16	8	0.168	0.073	0.547	0.212	-0.506	-1.68	0.51	-0.376	-1.12	0.36	-0.178	-0.157
Sequence	KC575880_53	4	4	15	7	0.168	0.073	0.547	0.212	-0.424	-1.61	0.61	-0.355	-1.13	0.41	-0.226	-0.179
Sequence	KC576078_53	2	2	13	8	0.168	0.073	0.547	0.212	-0.941	-2.51	0.32	-0.402	-1.22	0.41	-0.0805	-0.163
Sequence	KC576006_53	1	3	14	4	0.168	0.073	0.547	0.212	-1.17	-3.26	0.41	0.008	-0.87	0.91	-0.0853	-0.498
Sequence	KC575980_53	2	3	14	2	0.168	0.073	0.547	0.212	-0.305	-1.98	1.13	0.321	-0.64	1.35	-0.359	0.266
Sequence	KC575873_53	3	2	9	4	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	-0.271	-1.28	0.75	-0.444	-0.292
Sequence	KC576025_53	4	0	5	2	0.168	0.073	0.547	0.212	1.15	-0.4	2.84	0.176	-1.29	1.82	0.0709	0.426
Sequence	KC576038_53	5	2	13	5	0.168	0.073	0.547	0.212	0.21	-0.95	1.29	-0.0634	-0.95	0.85	0.348	-0.436
Sequence	KC575925_53	3	2	13	5	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	-0.0634	-0.95	0.85	-0.356	-0.436
Sequence	KC575885_53	4	1	9	2	0.168	0.073	0.547	0.212	0.789	-0.64	2.25	0.364	-0.82	1.68	0.135	0.289
Sequence	KC575999_53	3	2	8	4	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	-0.383	-1.42	0.66	-0.444	-0.228
Sequence	KC575970_53	4	3	16	4	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	0.137	-0.72	1.03	0.488	0.386
Sequence	KC575998_53	3	2	18	6	0.168	0.073	0.547	0.212	-0.382	-1.75	 0.8	0.125	-0.68	0.96	-0.281	0.389
Sequence	KC575904_53	3	2	18	5	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	0.251	-0.58	1.13	-0.356	0.286
Sequence	KC575988_53	4	2	10	3	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	-0.000437	-1.02	1.07	0.304	-0.489
Sequence	KC575955_53	3	1	11	3	0.168	0.073	0.547	0.212	0.262	-1.23	1.66	0.295	-0.76	1.45	0.351	0.306
Sequence	KC576058_53	3	3	16	2	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.45	-0.49	1.47	0.457	0.18
Sequence	KC576069_53	4	2	11	4	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	-0.0791	-1.04	0.91	0.397	-0.427
Sequence	KC576030_53	4	2	14	3	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.321	-0.64	1.35	0.304	0.266
Sequence	KC575906_53	4	2	14	2	0.168	0.073	0.547	0.212	0.525	-0.84	1.86	0.525	-0.49	1.65	0.215	0.164
Sequence	KC575965_53	3	1	10	3	0.168	0.073	0.547	0.212	0.262	-1.23	1.66	0.205	-0.88	1.37	0.351	0.369
Sequence	KC575890_53	2	5	16	5	0.168	0.073	0.547	0.212	-0.941	-2.51	0.32	-0.201	-0.98	0.58	-0.0805	-0.3
Sequence	KC576050_53	4	3	17	6	0.168	0.073	0.547	0.212	-0.233	-1.45	0.84	-0.0419	-0.83	0.76	-0.351	-0.451
Sequence	KC576100_92	4	6	21	2	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	0.275	-0.51	 1.1	-0.427	0.252
Sequence	KC575952_53	5	3	11	8	0.168	0.073	0.547	0.212	-0.219	-1.31	0.75	-0.654	-1.5	0.16	-0.344	-0.0585
Sequence	KC575910_53	5	2	11	8	0.168	0.073	0.547	0.212	-0.128	-1.23	0.86	-0.563	-1.42	0.27	-0.413	-0.0937
Sequence	KC575951_53	5	1	11	4	0.168	0.073	0.547	0.212	0.525	-0.7	1.72	0.0904	-0.91	1.15	0.191	0.442
Sequence	KC576149_92	5	2	14	6	0.168	0.073	0.547	0.212	0.0837	-1.05	1.13	-0.118	-0.97	0.75	0.431	-0.385
Sequence	KC576179_92	7	5	20	6	0.168	0.073	0.547	0.212	0.0952	-0.87	0.99	-0.0754	-0.8	0.66	0.413	-0.412
Sequence	KC575894_53	5	3	18	5	0.168	0.073	0.547	0.212	0.0837	-1.05	1.13	0.125	-0.68	0.96	0.431	0.389
Sequence	KC575977_53	4	2	20	6	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	0.228	-0.56	1.05	-0.427	0.294
Sequence	KC576021_53	1	4	14	4	0.168	0.073	0.547	0.212	-1.29	-3.35	0.26	-0.118	-0.97	0.75	-0.0587	-0.385
Sequence	KC575953_53	2	2	9	4	0.168	0.073	0.547	0.212	-0.472	-2.11	0.91	-0.271	-1.28	0.75	-0.273	-0.292
Sequence	KC576049_53	3	2	21	7	0.168	0.073	0.547	0.212	-0.493	-1.84	0.66	0.164	-0.6	0.95	-0.219	0.344
Sequence	KC575863_53	2	3	13	5	0.168	0.073	0.547	0.212	-0.735	-2.33	0.57	-0.19	-1.05	0.68	-0.152	-0.327
Sequence	KC576055_53	2	2	13	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	-0.0634	-0.95	0.85	-0.205	-0.436
Sequence	KC575872_53	2	3	13	5	0.168	0.073	0.547	0.212	-0.735	-2.33	0.57	-0.19	-1.05	0.68	-0.152	-0.327
Sequence	KC575860_53	2	2	14	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	0.008	-0.87	0.91	-0.205	-0.498
Sequence	KC575924_53	2	2	14	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	0.008	-0.87	0.91	-0.205	-0.498
Sequence	KC575943_53	2	2	14	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	0.008	-0.87	0.91	-0.205	-0.498
Sequence	KC575907_53	2	3	14	5	0.168	0.073	0.547	0.212	-0.735	-2.33	0.57	-0.118	-0.97	0.75	-0.152	-0.385
Sequence	KC575916_53	4	2	13	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	-0.0634	-0.95	0.85	0.488	-0.436
Sequence	KC576010_53	2	3	12	5	0.168	0.073	0.547	0.212	-0.735	-2.33	0.57	-0.267	-1.15	0.62	-0.152	-0.27
Sequence	KC575857_53	2	2	12	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	-0.14	-1.05	0.79	-0.205	-0.373
Sequence	KC576085_53	2	2	12	4	0.168	0.073	0.547	0.212	-0.472	-2.11	0.91	0.00426	-0.94	0.98	-0.273	-0.494
Sequence	KC575874_53	2	2	13	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	-0.0634	-0.95	0.85	-0.205	-0.436
Sequence	KC575900_53	2	2	13	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	-0.0634	-0.95	0.85	-0.205	-0.436
Sequence	KC575859_53	2	2	14	6	0.168	0.073	0.547	0.212	-0.735	-2.33	0.57	-0.118	-0.97	0.75	-0.152	-0.385
Sequence	KC575996_53	2	2	11	4	0.168	0.073	0.547	0.212	-0.472	-2.11	0.91	-0.0791	-1.04	0.91	-0.273	-0.427
Sequence	KC575994_53	3	3	15	5	0.168	0.073	0.547	0.212	-0.382	-1.75	 0.8	-0.0514	-0.89	 0.8	-0.281	-0.444
Sequence	KC576007_53	3	3	14	4	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	0.008	-0.87	0.91	-0.356	-0.498
Sequence	KC576004_53	3	3	14	6	0.168	0.073	0.547	0.212	-0.493	-1.84	0.66	-0.23	-1.06	 0.6	-0.219	-0.286
Sequence	KC575893_53	4	3	12	5	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	-0.267	-1.15	0.62	-0.427	-0.27
Sequence	KC576019_53	3	3	10	3	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	-0.17	-1.15	0.83	-0.444	-0.359
Sequence	KC576040_53	3	3	15	3	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	0.219	-0.68	1.17	-0.444	0.327
Sequence	KC575858_53	3	3	16	3	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	0.281	-0.61	1.23	-0.444	0.277
Sequence	KC575899_53	3	3	16	3	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	0.281	-0.61	1.23	-0.444	0.277
Sequence	KC575902_53	3	3	16	4	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	0.137	-0.72	1.03	-0.356	0.386
Sequence	KC575895_53	4	3	14	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.321	-0.64	1.35	0.304	0.266
Sequence	KC576056_53	4	3	13	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.25	-0.72	1.29	0.304	0.318
Sequence	KC575919_53	4	3	16	3	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	0.281	-0.61	1.23	0.397	0.277
Sequence	KC575866_53	4	3	16	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.45	-0.49	1.47	0.304	0.18
Sequence	KC575888_53	3	2	17	1	0.168	0.073	0.547	0.212	0.525	-1.04	2.06	0.965	-0.11	2.21	0.244	0.0377
Sequence	KC576026_53	3	2	13	3	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.25	-0.72	1.29	0.457	0.318
Sequence	KC575920_53	3	2	12	3	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	0.174	-0.81	1.22	0.457	0.377
Sequence	KC576000_53	2	1	13	5	0.168	0.073	0.547	0.212	-0.472	-2.11	0.91	0.0811	-0.84	1.05	-0.273	0.442
Sequence	KC575927_53	4	3	13	2	0.168	0.073	0.547	0.212	0.319	-0.99	1.56	0.25	-0.72	1.29	0.304	0.318
Sequence	KC575918_53	4	2	13	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	-0.0634	-0.95	0.85	0.488	-0.436
Sequence	KC576065_53	4	2	13	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	-0.0634	-0.95	0.85	0.488	-0.436
Sequence	KC576079_53	4	2	14	6	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	-0.118	-0.97	0.75	-0.427	-0.385
Sequence	KC575922_53	3	2	14	6	0.168	0.073	0.547	0.212	-0.382	-1.75	 0.8	-0.118	-0.97	0.75	-0.281	-0.385
Sequence	KC575981_53	5	2	15	4	0.168	0.073	0.547	0.212	0.355	-0.83	1.49	0.219	-0.68	1.17	0.267	0.327
Sequence	KC575929_53	3	1	17	6	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	0.196	-0.65	1.08	-0.356	0.334
Sequence	KC576011_53	5	2	17	3	0.168	0.073	0.547	0.212	0.525	-0.7	1.72	0.508	-0.42	1.52	0.191	0.147
Sequence	KC575992_53	2	2	15	5	0.168	0.073	0.547	0.212	-0.613	-2.23	0.73	0.0746	-0.79	0.97	-0.205	0.443
Sequence	KC575938_53	4	2	14	5	0.168	0.073	0.547	0.212	0.00368	-1.25	1.14	0.008	-0.87	0.91	0.488	-0.498
Sequence	KC575861_53	6	1	14	5	0.168	0.073	0.547	0.212	0.525	-0.6	1.62	0.152	-0.76	1.11	0.171	0.382
Sequence	KC575975_53	3	4	12	7	0.168	0.073	0.547	0.212	-0.681	-2.01	0.43	-0.57	-1.39	0.23	-0.128	-0.0815
Sequence	KC576076_53	5	3	10	8	0.168	0.073	0.547	0.212	-0.219	-1.31	0.75	-0.745	-1.61	0.08	-0.344	-0.0403
Sequence	KC575974_53	3	0	8	5	0.168	0.073	0.547	0.212	0.0556	-1.39	1.37	-0.212	-1.29	0.89	0.457	-0.342
Sequence	KC576135_92	1	1	13	3	0.168	0.073	0.547	0.212	-0.684	-2.91	1.07	0.454	-0.57	1.59	-0.25	0.204
Sequence	KC576051_53	3	1	9	3	0.168	0.073	0.547	0.212	0.262	-1.23	1.66	0.105	  -1	1.29	0.351	0.439
Sequence	KC575961_53	3	1	9	2	0.168	0.073	0.547	0.212	0.525	-1.04	2.06	0.364	-0.82	1.68	0.244	0.289
Sequence	KC575886_53	3	4	12	9	0.168	0.073	0.547	0.212	-0.839	-2.14	0.24	-0.731	-1.53	0.03	-0.0715	-0.0313
Sequence	KC576037_53	3	4	12	8	0.168	0.073	0.547	0.212	-0.763	-2.08	0.33	-0.654	-1.46	0.12	-0.096	-0.0512
Sequence	KC576059_53	4	4	12	8	0.168	0.073	0.547	0.212	-0.506	-1.68	0.51	-0.654	-1.46	0.12	-0.178	-0.0512
Sequence	KC575989_53	4	4	12	8	0.168	0.073	0.547	0.212	-0.506	-1.68	0.51	-0.654	-1.46	0.12	-0.178	-0.0512
Sequence	KC575931_53	4	4	10	5	0.168	0.073	0.547	0.212	-0.233	-1.45	0.84	-0.553	-1.45	0.32	-0.351	-0.108
Sequence	KC576067_53	4	4	20	6	0.168	0.073	0.547	0.212	-0.333	-1.53	0.72	0.0157	-0.73	0.77	-0.283	0.491
Sequence	KC576068_53	3	3	14	10	0.168	0.073	0.547	0.212	-0.839	-2.14	0.24	-0.582	-1.34	0.15	-0.0715	-0.0621
Sequence	KC575958_53	2	4	15	9	0.168	0.073	0.547	0.212	-1.18	-2.72	0.03	-0.516	-1.26	0.21	-0.0293	-0.0833
Sequence	KC576022_53	2	4	14	8	0.168	0.073	0.547	0.212	-1.11	-2.65	0.11	-0.505	-1.28	0.25	-0.0413	-0.0953
Sequence	KC576171_92	7	3	22	7	0.168	0.073	0.547	0.212	0.186	-0.8	 1.1	0.109	-0.62	0.86	0.343	0.393
Sequence	KC576152_92	8	3	22	7	0.168	0.073	0.547	0.212	0.313	-0.63	 1.2	0.109	-0.62	0.86	0.246	0.393
Sequence	KC576192_92	7	3	22	6	0.168	0.073	0.547	0.212	0.287	-0.71	1.23	0.209	-0.54	0.99	0.275	 0.3
Sequence	KC576239_92	5	4	19	5	0.168	0.073	0.547	0.212	-0.028	-1.15	0.99	0.0661	-0.71	0.86	-0.488	0.442
Sequence	KC576146_92	7	4	20	4	0.168	0.073	0.547	0.212	0.399	-0.62	1.37	0.228	-0.56	1.05	0.211	0.294
Sequence	KC575914_53	4	2	12	6	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	-0.267	-1.15	0.62	-0.427	-0.27
Sequence	KC576083_53	5	2	10	4	0.168	0.073	0.547	0.212	0.355	-0.83	1.49	-0.17	-1.15	0.83	0.267	-0.359
Sequence	KC575945_53	3	2	9	5	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	-0.416	-1.39	0.55	-0.356	-0.195
Sequence	KC575868_53	4	2	13	2	0.168	0.073	0.547	0.212	0.525	-0.84	1.86	0.454	-0.57	1.59	0.215	0.204
Sequence	KC575949_53	4	1	11	5	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	-0.0791	-1.04	0.91	0.397	-0.427
Sequence	KC575911_53	3	4	13	2	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	0.0811	-0.84	1.05	-0.444	0.442
Sequence	KC575932_53	3	4	13	3	0.168	0.073	0.547	0.212	-0.257	-1.64	0.96	-0.0634	-0.95	0.85	-0.356	-0.436
Sequence	KC575948_53	3	0	13	2	0.168	0.073	0.547	0.212	0.891	-0.79	2.65	1.06	-0.19	2.56	0.144	0.0486
Sequence	KC575967_53	3	1	13	5	0.168	0.073	0.547	0.212	-0.114	-1.53	1.15	0.0811	-0.84	1.05	-0.444	0.442
Sequence	KC576017_53	4	2	13	6	0.168	0.073	0.547	0.212	-0.122	-1.35	0.98	-0.19	-1.05	0.68	-0.427	-0.327
Sequence	KC575882_53	4	4	18	2	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	0.395	-0.48	1.33	0.397	0.194
Sequence	KC575972_53	4	4	19	2	0.168	0.073	0.547	0.212	0.148	-1.13	1.33	0.447	-0.42	1.38	0.397	0.16
Sequence	KC575909_53	4	2	11	7	0.168	0.073	0.547	0.212	-0.233	-1.45	0.84	-0.462	-1.34	 0.4	-0.351	-0.145
Sequence	KC575944_53	2	3	10	9	0.168	0.073	0.547	0.212	-1.11	-2.65	0.11	-0.829	-1.68	-0.02	-0.0413	-0.0235
Sequence	KC575954_53	4	1	12	8	0.168	0.073	0.547	0.212	-0.233	-1.45	0.84	-0.378	-1.24	0.47	-0.351	-0.188
Sequence	KC576036_53	6	1	13	8	0.168	0.073	0.547	0.212	0.142	-0.91	1.12	-0.301	-1.14	0.54	0.384	-0.235
Sequence	KC575968_53	6	1	12	7	0.168	0.073	0.547	0.212	0.254	-0.82	1.26	-0.267	-1.15	0.62	0.308	-0.27
Sequence	KC576008_53	5	1	13	7	0.168	0.073	0.547	0.212	0.0837	-1.05	1.13	-0.19	-1.05	0.68	0.431	-0.327
Sequence	KC575964_53	5	4	13	5	0.168	0.073	0.547	0.212	-0.028	-1.15	0.99	-0.301	-1.14	0.54	-0.488	-0.235
Sequence	KC576042_53	4	4	14	9	0.168	0.073	0.547	0.212	-0.583	-1.75	0.42	-0.582	-1.34	0.15	-0.139	-0.0621
Sequence	KC575976_53	5	5	11	8	0.168	0.073	0.547	0.212	-0.379	-1.45	0.56	-0.815	-1.63	-0.04	-0.23	-0.0209
Sequence	KC576041_53	6	6	12	5	0.168	0.073	0.547	0.212	-0.0495	-1.07	0.88	-0.57	-1.39	0.23	-0.468	-0.0815
Sequence	KC576086_92	5	2	22	9	0.168	0.073	0.547	0.212	-0.219	-1.31	0.75	0.0176	-0.7	0.74	-0.344	0.488
Sequence	KC576169_92	4	4	16	10	0.168	0.073	0.547	0.212	-0.654	-1.81	0.33	-0.525	-1.25	0.18	-0.107	-0.0729
Sequence	KC576257_92	4	3	20	11	0.168	0.073	0.547	0.212	-0.654	-1.81	0.33	-0.308	-0.99	0.37	-0.107	-0.184
Sequence	KC576197_92	9	3	23	7	0.168	0.073	0.547	0.212	0.425	-0.48	1.29	0.152	-0.57	 0.9	0.17	0.347
Sequence	KC576142_92	5	4	21	10	0.168	0.073	0.547	0.212	-0.45	-1.51	0.48	-0.26	-0.94	0.41	-0.184	-0.22
